table,panel,row,col,estimate,se,stars,n,units,page,notes
2,A: Bank Controls,Schedule connections,Average,0.026,0.007,***,,decimal,36,
2,A: Bank Controls,Schedule connections,DID,0.027,0.005,***,,decimal,36,
2,A: Bank Controls,Schedule connections,Market,0.024,0.007,***,,decimal,36,
2,A: Bank Controls,Schedule connections,CAPM,0.016,0.007,***,,decimal,36,
2,A: Bank Controls,Schedule connections,FF3F,0.014,0.006,***,,decimal,36,
2,A: Bank Controls,Schedule connections,SC,0.016,0.005,***,,decimal,36,
2,A: Bank Controls,Schedule connections,SDID,0.018,0.005,***,,decimal,36,
2,A: Bank Controls,Schedule connections,Gsynth,0.012,0.006,**,,decimal,36,
2,A: Bank Controls,Personal connections,Average,0.029,0.010,***,,decimal,36,
2,A: Bank Controls,Personal connections,DID,0.030,0.006,***,,decimal,36,
2,A: Bank Controls,Personal connections,Market,0.027,0.012,**,,decimal,36,
2,A: Bank Controls,Personal connections,CAPM,0.016,0.011,,,decimal,36,
2,A: Bank Controls,Personal connections,FF3F,0.013,0.011,,,decimal,36,
2,A: Bank Controls,Personal connections,SC,0.004,0.003,,,decimal,36,
2,A: Bank Controls,Personal connections,SDID,0.009,0.005,**,,decimal,36,
2,A: Bank Controls,Personal connections,Gsynth,0.008,0.007,,,decimal,36,
2,A: Bank Controls,New York connections,Average,0.019,0.005,***,,decimal,36,
2,A: Bank Controls,New York connections,DID,0.020,0.004,***,,decimal,36,
2,A: Bank Controls,New York connections,Market,0.017,0.004,***,,decimal,36,
2,A: Bank Controls,New York connections,CAPM,0.011,0.004,***,,decimal,36,
2,A: Bank Controls,New York connections,FF3F,0.009,0.004,***,,decimal,36,
2,A: Bank Controls,New York connections,SC,0.009,0.003,***,,decimal,36,
2,A: Bank Controls,New York connections,SDID,0.012,0.003,***,,decimal,36,
2,A: Bank Controls,New York connections,Gsynth,0.009,0.004,**,,decimal,36,
2,A: Bank Controls,Observations,Average,,,,"5,995",,36,
2,A: Bank Controls,Observations,DID,,,,"129,165",,36,
2,A: Bank Controls,Observations,Market,,,,"129,165",,36,
2,A: Bank Controls,Observations,CAPM,,,,"129,165",,36,
2,A: Bank Controls,Observations,FF3F,,,,"129,165",,36,
2,A: Bank Controls,Observations,SC,,,,"129,165",,36,
2,A: Bank Controls,Observations,SDID,,,,"129,165",,36,
2,A: Bank Controls,Observations,Gsynth,,,,"129,625",,36,
2,B: All Firm Controls,Schedule connections,Average,0.020,0.008,**,,decimal,36,
2,B: All Firm Controls,Schedule connections,DID,0.020,0.007,***,,decimal,36,
2,B: All Firm Controls,Schedule connections,Market,0.024,0.007,***,,decimal,36,
2,B: All Firm Controls,Schedule connections,CAPM,0.016,0.007,***,,decimal,36,
2,B: All Firm Controls,Schedule connections,FF3F,0.014,0.006,***,,decimal,36,
2,B: All Firm Controls,Schedule connections,SC,0.004,0.007,,,decimal,36,
2,B: All Firm Controls,Schedule connections,SDID,0.009,0.006,,,decimal,36,
2,B: All Firm Controls,Schedule connections,Gsynth,0.001,0.008,,,decimal,36,
2,B: All Firm Controls,Personal connections,Average,0.020,0.010,*,,decimal,36,
2,B: All Firm Controls,Personal connections,DID,0.021,0.006,***,,decimal,36,
2,B: All Firm Controls,Personal connections,Market,0.027,0.012,**,,decimal,36,
2,B: All Firm Controls,Personal connections,CAPM,0.016,0.011,,,decimal,36,
2,B: All Firm Controls,Personal connections,FF3F,0.013,0.011,,,decimal,36,
2,B: All Firm Controls,Personal connections,SC,-0.003,0.005,,,decimal,36,
2,B: All Firm Controls,Personal connections,SDID,0.006,0.005,,,decimal,36,
2,B: All Firm Controls,Personal connections,Gsynth,0.003,0.008,,,decimal,36,
2,B: All Firm Controls,New York connections,Average,0.011,0.005,**,,decimal,36,
2,B: All Firm Controls,New York connections,DID,0.011,0.004,***,,decimal,36,
2,B: All Firm Controls,New York connections,Market,0.017,0.004,***,,decimal,36,
2,B: All Firm Controls,New York connections,CAPM,0.011,0.004,***,,decimal,36,
2,B: All Firm Controls,New York connections,FF3F,0.009,0.004,***,,decimal,36,
2,B: All Firm Controls,New York connections,SC,0.004,0.004,,,decimal,36,
2,B: All Firm Controls,New York connections,SDID,0.003,0.003,,,decimal,36,
2,B: All Firm Controls,New York connections,Gsynth,0.001,0.004,,,decimal,36,
2,B: All Firm Controls,Observations,Average,,,,"45,045",,36,
2,B: All Firm Controls,Observations,DID,,,,"966,420",,36,
2,B: All Firm Controls,Observations,Market,,,,"966,420",,36,
2,B: All Firm Controls,Observations,CAPM,,,,"966,420",,36,
2,B: All Firm Controls,Observations,FF3F,,,,"966,420",,36,
2,B: All Firm Controls,Observations,SC,,,,"966,420",,36,
2,B: All Firm Controls,Observations,SDID,,,,"966,420",,36,
2,B: All Firm Controls,Observations,Gsynth,,,,"916,388",,36,
