table,panel,row,col,estimate,se,stars,n,units,page,notes
5,,1980-1989,Diff-in-Means,3.27,,,,percent,44,
5,,1980-1989,Market,3.25,,,,percent,44,
5,,1980-1989,CAPM,3.15,,,,percent,44,
5,,1980-1989,FF3F,3.05,,,,percent,44,
5,,1980-1989,Gsynth,3.06,,,,percent,44,
5,,1990-1999,Diff-in-Means,4.61,,,,percent,44,
5,,1990-1999,Market,4.62,,,,percent,44,
5,,1990-1999,CAPM,4.69,,,,percent,44,
5,,1990-1999,FF3F,4.71,,,,percent,44,
5,,1990-1999,Gsynth,4.79,,,,percent,44,
5,,2000-2009,Diff-in-Means,3.42,,,,percent,44,
5,,2000-2009,Market,3.43,,,,percent,44,
5,,2000-2009,CAPM,3.33,,,,percent,44,
5,,2000-2009,FF3F,3.22,,,,percent,44,
5,,2000-2009,Gsynth,3.41,,,,percent,44,
5,,2010-2020,Diff-in-Means,1.14,,,,percent,44,
5,,2010-2020,Market,0.94,,,,percent,44,
5,,2010-2020,CAPM,0.85,,,,percent,44,
5,,2010-2020,FF3F,0.85,,,,percent,44,
5,,2010-2020,Gsynth,0.93,,,,percent,44,
