table,panel,row,col,estimate,se,stars,n,units,page,notes
3,A: Simple Averages,CAPM Beta,Treated,1.427,,,,beta,42,
3,A: Simple Averages,CAPM Beta,Control,0.825,,,,beta,42,
3,A: Simple Averages,CAPM Beta,Control (All CRSP),0.832,,,,beta,42,
3,A: Simple Averages,FF3F Market Beta,Treated,1.275,,,,beta,42,
3,A: Simple Averages,FF3F Market Beta,Control,0.659,,,,beta,42,
3,A: Simple Averages,FF3F Market Beta,Control (All CRSP),0.857,,,,beta,42,
3,A: Simple Averages,FF3F Size Beta,Treated,0.233,,,,beta,42,
3,A: Simple Averages,FF3F Size Beta,Control,0.748,,,,beta,42,
3,A: Simple Averages,FF3F Size Beta,Control (All CRSP),0.553,,,,beta,42,
3,A: Simple Averages,FF3F Value Beta,Treated,0.607,,,,beta,42,
3,A: Simple Averages,FF3F Value Beta,Control,0.720,,,,beta,42,
3,A: Simple Averages,FF3F Value Beta,Control (All CRSP),0.144,,,,beta,42,
3,B: Weighted Averages with Synthetic Methods,CAPM Beta,Bank Controls SC,1.331,,,,beta,42,
3,B: Weighted Averages with Synthetic Methods,CAPM Beta,Bank Controls SDID,1.111,,,,beta,42,
3,B: Weighted Averages with Synthetic Methods,CAPM Beta,All CRSP Controls SC,1.383,,,,beta,42,
3,B: Weighted Averages with Synthetic Methods,CAPM Beta,All CRSP Controls SDID,1.281,,,,beta,42,
3,B: Weighted Averages with Synthetic Methods,FF3F Market Beta,Bank Controls SC,1.148,,,,beta,42,
3,B: Weighted Averages with Synthetic Methods,FF3F Market Beta,Bank Controls SDID,0.905,,,,beta,42,
3,B: Weighted Averages with Synthetic Methods,FF3F Market Beta,All CRSP Controls SC,1.220,,,,beta,42,
3,B: Weighted Averages with Synthetic Methods,FF3F Market Beta,All CRSP Controls SDID,1.165,,,,beta,42,
3,B: Weighted Averages with Synthetic Methods,FF3F Size Beta,Bank Controls SC,0.480,,,,beta,42,
3,B: Weighted Averages with Synthetic Methods,FF3F Size Beta,Bank Controls SDID,0.819,,,,beta,42,
3,B: Weighted Averages with Synthetic Methods,FF3F Size Beta,All CRSP Controls SC,0.377,,,,beta,42,
3,B: Weighted Averages with Synthetic Methods,FF3F Size Beta,All CRSP Controls SDID,0.627,,,,beta,42,
3,B: Weighted Averages with Synthetic Methods,FF3F Value Beta,Bank Controls SC,0.750,,,,beta,42,
3,B: Weighted Averages with Synthetic Methods,FF3F Value Beta,Bank Controls SDID,0.872,,,,beta,42,
3,B: Weighted Averages with Synthetic Methods,FF3F Value Beta,All CRSP Controls SC,0.674,,,,beta,42,
3,B: Weighted Averages with Synthetic Methods,FF3F Value Beta,All CRSP Controls SDID,0.593,,,,beta,42,
